Station,Latitude,Longitude,Dates,TDS,EC,pH,Ca+Mg,CO3-2,HCO3-,Na+,k+,SAR,Suitability
WARC,9.335145,40.172296,2023-08-08,508.8,0.795,8.6,2.16,0.1,0.4,57.2,14.3,55.04,0
WARC,9.335145,40.172296,2023-08-08,496.64,0.776,8.4,2.47,0.1,0.35,56.5,14.8,50.84,0
WARC,9.335145,40.172296,2023-08-08,497.92,0.778,8.81,2.34,0.1,0.4,56.8,14.8,52.51,0
WEIR SITE,9.206525,40.119202,2023-08-08,220.8,0.345,8.31,2.55,0.055,0.3,22.1,5.5,19.57,0
WEIR SITE,9.206525,40.119202,2023-08-08,218.88,0.342,8.62,2.6,0.055,0.35,21.7,5.5,19.03,0
WEIR SITE,9.206525,40.119202,2023-08-08,216.96,0.339,8.7,2.55,0.1,0.4,21.9,5.6,19.39,0
KEBENA,9.251618,40.048613,2023-08-08,444.16,0.694,9.01,2.35,0.1,0.5,52.4,15.2,48.34,0
KEBENA,9.251618,40.048613,2023-08-08,440.96,0.689,9.07,2.1,0.15,0.5,52.8,15.3,51.53,0
KEBENA,9.251618,40.048613,2023-08-08,444.16,0.694,9.09,2.46,0.15,0.45,52.9,15.2,47.7,0
KESEM,9.198116,40.045662,2023-08-08,414.72,0.648,9.07,2.99,0.2,0.45,47.7,8.6,39.01,0
KESEM,9.198116,40.045662,2023-08-08,416.64,0.651,9.01,2.94,0.15,0.5,47.1,8.7,38.85,0
KESEM,9.198116,40.045662,2023-08-08,419.84,0.656,9.03,2.96,0.15,0.45,47.8,8.6,39.29,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-08-08,447.36,0.699,9.16,2.21,0.15,0.4,53.7,15.3,51.08,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-08-08,446.72,0.698,9.2,2.47,0.15,0.45,54.5,15.2,49.04,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-08-08,449.28,0.702,9.18,2.36,0.1,0.5,53.6,15.2,49.34,0
DEHOSPPRING,9.166462,40.083482,2023-08-08,1344,2.1,9.66,1.56,0.2,0.5,100.2,23.7,113.45,0
DEHOSPPRING,9.166462,40.083482,2023-08-08,1344,2.1,9.58,1.27,0.2,0.45,99.8,23.4,125.24,0
DEHOSPPRING,9.166462,40.083482,2023-08-08,1344,2.1,9.61,1.25,0.2,0.4,100,23.6,126.49,0
WARC,9.335145,40.172296,2023-08-13,297.6,0.465,7.55,2.08,0.1,0.5,38.7,16.8,37.95,1
WARC,9.335145,40.172296,2023-08-13,295.04,0.461,7.88,1.99,0.1,0.55,38.8,17.2,38.9,1
WARC,9.335145,40.172296,2023-08-13,296.32,0.463,8.31,2.06,0.1,0.45,39,16.2,3.84,1
WEIR SITE,9.206525,40.119202,2023-08-13,153.6,0.24,7.61,2.26,0,0.1,12.6,6.9,11.85,1
WEIR SITE,9.206525,40.119202,2023-08-13,136.32,0.213,7.81,2.18,0,0.1,12.1,6.3,11.59,1
WEIR SITE,9.206525,40.119202,2023-08-13,138.24,0.216,7.99,2.12,0,0.1,12.2,5.7,11.85,1
KEBENA,9.251618,40.048613,2023-08-13,312.96,0.489,8,2.03,0.1,0.4,37.4,10.1,37.12,1
KEBENA,9.251618,40.048613,2023-08-13,264.32,0.413,8.27,1.98,0.1,0.35,36.5,17.3,36.68,1
KEBENA,9.251618,40.048613,2023-08-13,274.56,0.429,8.19,1.88,0.1,0.4,36.5,17.9,37.65,1
KESEM,9.198116,40.045662,2023-08-13,348.8,0.545,8.25,2.53,0.1,0.4,40.8,10.4,36.28,1
KESEM,9.198116,40.045662,2023-08-13,321.28,0.502,8.22,2.66,0.1,0.4,38.4,10,33.3,1
KESEM,9.198116,40.045662,2023-08-13,265.6,0.415,8.3,2.4,0.1,0.3,36.3,16.2,33.14,1
