Station,Latitude,Longitude,Dates,TDS,EC,pH,Ca+Mg,CO3-2,HCO3-,Na+,k+,SAR,Suitability
KESEM,9.335145,40.172296,45394,325.76,0.509,8.34,2.56,0,0.5,73.49,8.1,64.96,0
KESEM,9.335145,40.172296,45394,321.92,0.503,8.68,2.49,0,0.4,46.81,7.89,41.95,0
KESEM,9.335145,40.172296,45394,327.68,0.512,8.58,2.44,0,0.2,48,7.79,43.46,0
Beseka  out  gate,8.888565,39.917802,45394,1491.2,2.33,10.01,0.54,0.15,0.4,139.25,31.21,267.98,0
Beseka  out  gate,8.888565,39.917802,45394,1529.6,2.39,10.01,0.49,0.15,0.2,139.55,30.69,281.93,0
Beseka  out  gate,8.888565,39.917802,45394,1542.4,2.41,10.01,0.5,0.1,0.2,139.65,30.59,279.29,0
Beseka  middle,8.89731,39.90717,45394,1497.6,2.34,9.97,0.5,0.15,0.2,137.96,30.8,275.92,0
Beseka  middle,8.89731,39.90717,45394,1529.6,2.39,9.98,0.37,0.1,0.2,141.03,30.39,327.9,0
Beseka  middle,8.89731,39.90717,45394,1497.6,2.34,9.98,0.56,0.1,0.2,140.14,31,264.84,0
Beseka  uper,8.90574,39.8977,45394,1516.8,2.37,9.59,0.3,0.15,0.3,160.97,36.42,415.62,0
Beseka  uper,8.90574,39.8977,45394,1529.6,2.39,9.61,0.31,0.1,0.2,161.76,36.73,410.88,0
Beseka  uper,8.90574,39.8977,45394,1536,2.4,9.67,0.61,0.15,0.4,162.36,36.42,293.98,0
DEHOSPPRING,9.166462,40.083482,45394,2028.8,3.17,10.18,0.94,0.1,0.3,141.63,23.64,206.59,0
DEHOSPPRING,9.166462,40.083482,45394,2041.6,3.19,10.19,0.99,0.15,0.3,141.63,23.54,201.3,0
DEHOSPPRING,9.166462,40.083482,45394,2028.8,3.17,10.19,0.9,0.15,0.3,141.83,23.64,211.42,0
KEBENA,9.251618,40.048613,45394,185.6,0.29,8.75,2.33,0,0.1,19.84,6.36,18.38,0
KEBENA,9.251618,40.048613,45394,215.68,0.337,8.74,2.8,0,0.1,18.94,4.11,16.01,0
KEBENA,9.251618,40.048613,45394,174.08,0.272,8.82,2.12,0,0.15,19.24,4.21,18.69,0
WEIR SITE,9.206525,40.119202,45394,379.52,0.593,9.11,1.76,0,0.1,61.99,11.37,66.08,0
WEIR SITE,9.206525,40.119202,45394,381.44,0.596,9.08,1.94,0,0.15,61.79,11.68,62.74,0
WEIR SITE,9.206525,40.119202,45394,380.16,0.594,8.78,1.84,0,0.1,62.38,12.6,65.04,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,45394,387.84,0.606,8.35,1.91,0,0.15,62.48,12.29,63.94,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,45394,387.84,0.606,8.46,2,0,0.1,60.9,11.98,60.9,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,45394,389.12,0.608,8.47,1.93,0,15,63.97,12.08,65.12,0
WARC,9.335145,40.172296,45394,464.64,0.726,8.64,2.32,0.15,0.1,69.33,10.86,64.37,0
WARC,9.335145,40.172296,45394,456.96,0.714,8.75,2.19,0,0.1,69.23,11.06,66.16,0
WARC,9.335145,40.172296,45394,468.48,0.732,8.71,2.28,0,0.1,69.62,11.27,65.21,0
KESEM,9.335145,40.172296,45398,331.52,0.518,8.25,2.28,0,0.1,72.8,8.51,68.18,1
KESEM,9.335145,40.172296,45398,329.6,0.515,8.4,1.94,0,0.15,46.12,8.2,46.83,1
KESEM,9.335145,40.172296,45398,330.24,0.516,8.36,1.9,0,0.1,47.01,7.99,48.23,1
Beseka  out  gate,8.888565,39.917802,45398,1440,2.25,10.01,0.43,0.15,0.1,139.25,31.41,300.31,0
Beseka  out  gate,8.888565,39.917802,45398,1452.8,2.27,10.02,0.41,0.1,0.2,141.63,31.41,312.81,0
Beseka  out  gate,8.888565,39.917802,45398,1440,2.25,10.03,0.44,0.1,0.2,139.25,31.61,296.88,0
Beseka  middle,8.89731,39.90717,45398,1459.2,2.28,10.02,0.39,0.1,0.2,140.93,32.33,319.15,0
Beseka  middle,8.89731,39.90717,45398,1446.4,2.26,10.02,0.36,0.1,0.2,141.33,1.86,333.12,0
Beseka  middle,8.89731,39.90717,45398,1459.2,2.28,10.01,0.39,0.15,0.2,140.24,31.61,317.58,0
Beseka  uper,8.90574,39.8977,45398,2028.8,3.17,10.25,0.25,0.1,0.2,165.23,37.34,467.35,0
Beseka  uper,8.90574,39.8977,45398,2035.2,3.18,10.22,0.33,0.1,0.2,165.93,37.34,408.49,0
Beseka  uper,8.90574,39.8977,45398,2028.8,3.17,10.21,0.31,0.1,0.2,164.64,37.75,418.18,0
DEHOSPPRING,9.166462,40.083482,45398,1408,2.2,8.98,0.74,0.15,0.2,137.56,24.46,226.15,0
DEHOSPPRING,9.166462,40.083482,45398,1388.8,2.17,8.97,0.73,0.1,0.2,137.17,24.87,227.04,0
DEHOSPPRING,9.166462,40.083482,45398,1395.2,2.18,9.04,0.69,0.15,0.1,136.07,25.07,231.67,0
KEBENA,9.251618,40.048613,45398,201.6,0.315,8.72,1.8,0,0.15,27.47,3.19,28.96,0
KEBENA,9.251618,40.048613,45398,200.96,0.314,8.81,1.9,0,0.1,26.38,5.13,27.07,0
KEBENA,9.251618,40.048613,45398,186.24,0.291,8.83,2.16,0,0.1,24.5,5.13,23.57,0
WEIR SITE,9.206525,40.119202,45398,488.32,0.763,8.97,1.69,0,0.1,76.86,15.25,83.62,0
WEIR SITE,9.206525,40.119202,45398,484.48,0.757,8.97,1.63,0,0.1,76.27,15.05,84.48,0
WEIR SITE,9.206525,40.119202,45398,484.48,0.757,8.98,1.64,0,0.15,75.87,15.05,83.79,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,45398,487.68,0.762,8.97,1.82,0,0.2,75.48,14.95,79.12,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,45398,497.92,0.778,8.98,1.76,0,0.2,75.77,14.74,80.77,0
AWASHRIVER@ADDIS RAI,9.188908,40.125419,45398,494.08,0.772,8.94,1.84,0,0.1,75.87,15.25,79.1,0
WARC,9.335145,40.172296,45398,576.64,0.901,8.93,1.99,0,0.1,83.51,15.66,83.72,0
WARC,9.335145,40.172296,45398,573.44,0.896,8.92,1.99,0,0.2,84.5,15.25,84.71,0
WARC,9.335145,40.172296,45398,577.28,0.902,8.94,2.03,0,0.2,83.21,15.56,82.59,0
