Station,Latitude,Longitude,Dates,TDS,EC,pH
Beseka  out  gate,8.888565,39.917802,20/03/2017,2120,3.13,9.36
Beseka  middle,8.89731,39.90717,20/03/2017,2170,3.19,9.37
Beseka  uper,8.90574,39.8977,20/03/2017,867,1.29,8.63
AWASHRIVER@ADDIS RAI,9.188908,40.125419,20/03/2017,528,0.83,8.82
KEBENA,9.251618,40.048613,20/03/2017,243.2,0.38,8.18
KESEM,9.335145,40.172296,20/03/2017,281.6,0.44,8.09
DEHOSPPRING,9.166462,40.083482,20/03/2017,1398.4,2.19,8.8
WARC,9.335145,40.172296,20/03/2017,780.8,1.22,8.44
AWASHRIVER@ADDIS RAI,9.188908,40.125419,20/03/2017,492.8,0.77,8.32
KEBENA,9.251618,40.048613,20/03/2017,128,0.2,7.68
KESEM,9.335145,40.172296,20/03/2017,179.2,0.28,7.59
DEHOSPPRING,9.166462,40.083482,20/03/2017,1664,2.6,8.3
WARC,9.335145,40.172296,20/03/2017,710.4,1.11,7.94
Beseka  out  gate,8.888565,39.917802,21/04/2017,2130,3.16,9.42
Beseka  middle,8.89731,39.90717,21/04/2017,2130,3.18,9.4
Beseka  uper,8.90574,39.8977,21/04/2017,888,1.33,8.85
Beseka  out  gate,8.888565,39.917802,19/05/2017,2080,3.1,9.46
Beseka  out  gate,8.888565,39.917802,20/05/2017,2080,3.03,9.43
Beseka  middle,8.89731,39.90717,19/05/2017,2170,3.22,9.47
Beseka  middle,8.89731,39.90717,20/05/2017,2170,3.17,9.44
Beseka  uper,8.90574,39.8977,19/05/2017,827,1.23,8.78
Beseka  uper,8.90574,39.8977,20/05/2017,768,1.15,8.89
Beseka  uper,8.90574,39.8977,20/03/2018,634,0.95,8.51
Beseka  uper,8.90574,39.8977,21/04/2018,478,0.7,8.26
AWASHRIVER@ADDIS RAI,9.188908,40.125419,21/04/2018,480,0.75,8.63
KEBENA,9.251618,40.048613,21/04/2018,262.4,0.41,8.34
KESEM,9.335145,40.172296,21/04/2018,320,0.5,8.44
DEHOSPPRING,9.166462,40.083482,21/04/2018,1523.2,2.38,9.21
WEIR SITE,9.206525,40.119202,21/04/2018,505.6,0.79,8.46
WARC,9.335145,40.172296,21/04/2018,710.4,1.11,8.61
Beseka  uper,8.90574,39.8977,19/05/2018,556,0.82,8.385
Beseka  uper,8.90574,39.8977,19/06/2018,345,0.52,7.74
Beseka  out  gate,8.888565,39.917802,01/03/2019,2170,3.1,8.98
Beseka  middle,8.89731,39.90717,01/03/2019,2170,3.1,8.97
Beseka  uper,8.90574,39.8977,01/03/2019,671,1.01,8.4
Beseka  out  gate,8.888565,39.917802,19/04/2019,2035,3.1,9.04
Beseka  middle,8.89731,39.90717,19/04/2019,2005,3.05,9.04
Beseka  uper,8.90574,39.8977,19/04/2019,512,0.78,8.24
Beseka  out  gate,8.888565,39.917802,19/04/2020,466.05,0.72,8.22
Beseka  middle,8.89731,39.90717,19/04/2020,1885,2.9,9.48
Beseka  uper,8.90574,39.8977,19/04/2020,1885,2.9,9.49
WEIR SITE,9.206525,40.119202,19/04/2020,359.45,0.55,7.71
DEHOSPPRING,9.166462,40.083482,19/04/2020,1029.6,1.58,8.29
KESEM,9.335145,40.172296,19/04/2020,200.2,0.31,7.69
Beseka  out  gate,8.888565,39.917802,19/06/2020,400.4,0.62,7.89
Beseka  middle,8.89731,39.90717,19/06/2020,2080,3.2,9.49
Beseka  uper,8.90574,39.8977,19/06/2020,2015,3.1,9.45
DEHOSPPRING,9.166462,40.083482,19/06/2020,1101.1,1.69,8.29
KESEM,9.335145,40.172296,19/06/2020,215.8,0.33,8.04
WEIR SITE,9.206525,40.119202,19/06/2020,393.25,0.61,8.57
WARC,9.335145,40.172296,19/06/2020,262.6,0.4,8.36
Beseka  out  gate,8.888565,39.917802,31/03/2021,612.95,0.94,8.56
Beseka  middle,8.89731,39.90717,31/03/2021,1876,2.8,9.41
Beseka  uper,8.90574,39.8977,31/03/2021,1809,2.7,9.43
DEHOSPPRING,9.166462,40.083482,31/03/2021,1043.19,1.56,8.2
KESEM,9.335145,40.172296,31/03/2021,208.65,0.32,7.88
WEIR SITE,9.206525,40.119202,31/03/2021,577.85,0.89,8.1
WARC,9.335145,40.172296,31/03/2021,540.15,0.83,8
Beseka  out  gate,8.888565,39.917802,20/04/2021,253.5,0.39,7.7
Beseka  middle,8.89731,39.90717,20/04/2021,1742,2.6,9.18
Beseka  uper,8.90574,39.8977,20/04/2021,1809,2.7,9.14
DEHOSPPRING,9.166462,40.083482,20/04/2021,1943,2.9,8.21
KESEM,9.335145,40.172296,20/04/2021,221,0.34,7.54
WEIR SITE,9.206525,40.119202,20/04/2021,174.85,0.27,7.41
WARC,9.335145,40.172296,20/04/2021,375.05,0.58,7.68
Beseka  out  gate,8.888565,39.917802,22/05/2021,611.65,0.94,8.65
Beseka  middle,8.89731,39.90717,22/05/2021,1809,2.7,9.31
Beseka  uper,8.90574,39.8977,22/05/2021,1742,2.6,9.31
WEIR SITE,9.206525,40.119202,22/05/2021,577.85,0.89,7.68
DEHOSPPRING,9.166462,40.083482,22/05/2021,1053,1.62,7.8
KESEM,9.335145,40.172296,22/05/2021,221.65,0.34,7.62
WARC,9.335145,40.172296,22/05/2021,555.1,0.85,7.74
Beseka  out  gate,8.888565,39.917802,25/06/2021,522.6,0.8,7.93
Beseka  middle,8.89731,39.90717,25/06/2021,1809,2.7,9.15
Beseka  uper,8.90574,39.8977,25/06/2021,1742,2.6,9.13
DEHOSPPRING,9.166462,40.083482,25/06/2021,1044.55,1.61,7.81
KESEM,9.335145,40.172296,25/06/2021,226.2,0.35,7.61
WEIR SITE,9.206525,40.119202,25/06/2021,504.4,0.78,7.6
WARC,9.335145,40.172296,25/06/2021,560.3,0.86,7.52
Beseka  out  gate,8.888565,39.917802,01/02/2022,429.5,0.86,8.01
Beseka  middle,8.89731,39.90717,01/02/2022,1811.68,2.7,9.02
Beseka  uper,8.90574,39.8977,01/02/2022,1800.29,2.69,9.01
Beseka  out  gate,8.888565,39.917802,10/09/2018,2000,2.98,9.07
Beseka  middle,8.89731,39.90717,10/09/2018,3030,3.02,9.04
Beseka  out  gate,8.888565,39.917802,10/09/2018,2080,3.11,9.13
Beseka  middle,8.89731,39.90717,10/09/2018,2150,3.22,9.23
Beseka  uper,8.90574,39.8977,10/09/2018,827,1.39,8.31
AWASHRIVER@ADDIS RAI,9.188908,40.125419,10/09/2018,142.08,0.22,8.24
KEBENA,9.251618,40.048613,10/09/2018,78.08,0.12,8.06
KESEM,9.335145,40.172296,10/09/2018,163.20,0.26,8.25
DEHOSPPRING,9.166462,40.083482,10/09/2018,1561.60,2.44,8.79
WEIR SITE,9.206525,40.119202,10/09/2018,328.96,0.51,8.48
WARC,9.335145,40.172296,10/09/2018,298.24,0.47,8.36
Beseka  out  gate,8.888565,39.917802,21/10/2018,2050.00,3.11,9.36
Beseka  middle,8.89731,39.90717,21/10/2018,2160.00,3.23,9.39
Beseka  out  gate,8.888565,39.917802,19/11/2018,2025.00,3.05,9.22
Beseka  middle,8.89731,39.90717,19/11/2018,2595.00,3.13,9.22
Beseka  out  gate,8.888565,39.917802,03/11/2018,1990.00,2.97,8.79
Beseka  middle,8.89731,39.90717,03/11/2018,1936.00,2.99,8.81
Beseka  uper,8.90574,39.8977,03/11/2018,594.00,0.89,7.85
Beseka  out  gate,8.888565,39.917802,20/12/2018,1820.00,2.71,9.01
Beseka  middle,8.89731,39.90717,20/12/2018,1740.00,2.59,8.97
Beseka  out  gate,8.888565,39.917802,03/12/2018,2081.00,3.10,9.27
Beseka  middle,8.89731,39.90717,03/12/2018,2112.00,3.10,9.25
Beseka  uper,8.90574,39.8977,03/12/2018,489.00,0.74,8.62
Beseka  out  gate,8.888565,39.917802,02/01/2019,2060.00,3.17,8.97
Beseka  middle,8.89731,39.90717,02/01/2019,2055.00,3.17,9.02
Beseka  uper,8.90574,39.8977,02/01/2019,710.00,1.09,8.48
Beseka  out  gate,8.888565,39.917802,28/11/2020,462.15,0.71,8.67
Beseka  middle,8.89731,39.90717,28/11/2020,2210.00,3.40,9.49
Beseka  uper,8.90574,39.8977,28/11/2020,2275.00,3.50,9.45
WEIR SITE,9.206525,40.119202,28/11/2020,456.30,0.70,8.27
DEHOSPPRING,9.166462,40.083482,28/11/2020,1043.90,1.61,8.30
KESEM,9.335145,40.172296,28/11/2020,172.25,0.27,7.45
WARC,9.335145,40.172296,28/11/2020,468.65,0.72,7.75
Beseka  out  gate,8.888565,39.917802,03/12/2020,438.10,0.67,8.67
Beseka  middle,8.89731,39.90717,03/12/2020,2278.00,3.40,9.57
Beseka  uper,8.90574,39.8977,03/12/2020,2345.00,3.50,9.55
DEHOSPPRING,9.166462,40.083482,03/12/2020,1066.00,1.64,8.47
KESEM,9.335145,40.172296,03/12/2020,174.20,0.27,8.63
WEIR SITE,9.206525,40.119202,03/12/2020,435.50,0.67,8.59
WARC,9.335145,40.172296,03/12/2020,460.85,0.71,8.62
Beseka  out  gate,8.888565,39.917802,05/01/2021,464.75,0.72,8.61
Beseka  middle,8.89731,39.90717,05/01/2021,2145.00,3.30,9.45
Beseka  uper,8.90574,39.8977,05/01/2021,2210.00,3.40,9.43
DEHOSPPRING,9.166462,40.083482,05/01/2021,1029.60,1.58,8.37
KESEM,9.335145,40.172296,05/01/2021,178.10,0.27,8.14
WEIR SITE,9.206525,40.119202,05/01/2021,432.25,0.67,8.13
WARC,9.335145,40.172296,05/01/2021,443.30,0.68,8.03
Beseka  out  gate,8.888565,39.917802,18/08/2021,221.00,0.34,7.34
Beseka  middle,8.89731,39.90717,18/08/2021,1742.00,2.60,9.07
