TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.691726063,0.890532544,0.921641791,0.534989888,0.503172888,0.208563227,0.292560936,0.021203779,0.24290308
0.708664191,0.908284024,0.925373134,0.535655464,0.503749054,0.209124147,0.293274044,0.02131654,0.243454566
0.267256565,0.346153846,0.649253731,0.536273194,0.504287073,0.209644923,0.29392666,0.021421602,0.243956112
0.152416055,0.210059172,0.720149254,0.55889647,0.527179636,0.228655424,0.308262599,0.025548358,0.251687036
0.055936475,0.076923077,0.481343284,0.564471459,0.532285998,0.233539997,0.313623841,0.026647432,0.255525999
0.068944958,0.094674556,0.447761194,0.575230997,0.542812078,0.24300275,0.322010721,0.028868292,0.260715184
0.447274994,0.612426036,0.712686567,0.5562493,0.524518661,0.226387956,0.306482944,0.025037732,0.25069486
0.238055232,0.325443787,0.578358209,0.575230997,0.542812078,0.24300275,0.322010721,0.028868292,0.260715184
0.140491612,0.192307692,0.53358209,0.55889647,0.527179636,0.228655424,0.308262599,0.025548358,0.251687036
0.016911027,0.023668639,0.294776119,0.564471459,0.532285998,0.233539997,0.313623841,0.026647432,0.255525999
0.034255671,0.047337278,0.26119403,0.575230997,0.542812078,0.24300275,0.322010721,0.028868292,0.260715184
0.537250332,0.733727811,0.526119403,0.5562493,0.524518661,0.226387956,0.306482944,0.025037732,0.25069486
0.214206347,0.292899408,0.391791045,0.575230997,0.542812078,0.24300275,0.322010721,0.028868292,0.260715184
0.695113689,0.899408284,0.944029851,0.515363952,0.491833302,0.192146013,0.315626763,0.0181792,0.279199593
0.695113689,0.905325444,0.936567164,0.515363952,0.491833302,0.192146013,0.315626763,0.0181792,0.279199593
0.274370579,0.357988166,0.731343284,0.515363952,0.491833302,0.192146013,0.315626763,0.0181792,0.279199593
0.67817556,0.881656805,0.958955224,0.51515124,0.508475971,0.184290679,0.259978451,0.016958183,0.222973419
0.67817556,0.860946746,0.947761194,0.51515124,0.508475971,0.184290679,0.259978451,0.016958183,0.222973419
0.708664191,0.917159763,0.962686567,0.514477247,0.507666083,0.183876736,0.259581287,0.016881092,0.222648245
0.708664191,0.902366864,0.951492537,0.514477247,0.507666083,0.183876736,0.259581287,0.016881092,0.222648245
0.253706062,0.328402367,0.705223881,0.513928454,0.506983917,0.183551239,0.259271098,0.016820395,0.222387351
0.233719071,0.304733728,0.746268657,0.513928454,0.506983917,0.183551239,0.259271098,0.016820395,0.222387351
0.188324887,0.24556213,0.604477612,0.554540373,0.526227023,0.223065107,0.316316315,0.024410836,0.265279407
0.135477926,0.171597633,0.51119403,0.553101206,0.538683371,0.216778355,0.297698854,0.023372535,0.25043656
0.136155451,0.186390533,0.649253731,0.589092977,0.562730146,0.252270264,0.332043751,0.031359117,0.270251621
0.062440717,0.085798817,0.541044776,0.589027231,0.562685803,0.252203148,0.331978218,0.031343024,0.270214097
0.08195344,0.112426036,0.578358209,0.598184327,0.568875541,0.261628896,0.341199244,0.033639845,0.27548367
0.489552562,0.668639053,0.865671642,0.585393081,0.560237081,0.24850668,0.32837253,0.030462503,0.268148485
0.144827773,0.198224852,0.585820896,0.589777646,0.563191995,0.252969577,0.33272659,0.031527016,0.270642458
0.214206347,0.292899408,0.641791045,0.598184327,0.568875541,0.261628896,0.341199244,0.033639845,0.27548367
0.161901407,0.207100592,0.557835821,0.666488032,0.652773413,0.315675124,0.428428717,0.04966171,0.360125543
0.708664191,0.881656805,0.779850746,0.498173163,0.482149735,0.176981686,0.268251003,0.015537886,0.233099601
0.708664191,0.881656805,0.776119403,0.498350844,0.482401218,0.177173544,0.269196692,0.015572886,0.234127597
0.200859102,0.263313609,0.563432836,0.498498286,0.482625625,0.177337221,0.270057583,0.015602985,0.235069816
0.662931245,0.881656805,0.802238806,0.498173163,0.482149735,0.176981686,0.268251003,0.015537886,0.233099601
0.652768368,0.866863905,0.802238806,0.498350844,0.482401218,0.177173544,0.269196692,0.015572886,0.234127597
0.146995854,0.195266272,0.503731343,0.498498286,0.482625625,0.177337221,0.270057583,0.015602985,0.235069816
0.131429714,0.177514793,0.496268657,0.52060111,0.501520505,0.194383215,0.29701904,0.018702239,0.258174374
0.61211686,0.822485207,0.96641791,0.520799845,0.50163062,0.194577057,0.297298555,0.018738052,0.258392286
0.61211686,0.822485207,0.970149254,0.520975107,0.501731014,0.194750175,0.297561712,0.018770143,0.258603605
0.095317624,0.127218935,0.305970149,0.544307841,0.522862218,0.214224991,0.311751346,0.022684285,0.266056094
0.322339359,0.431952663,0.52238806,0.53973859,0.518886137,0.210385132,0.309275484,0.0218873,0.265038589
0.041369685,0.056213018,0.298507463,0.556909235,0.533563764,0.225087205,0.319280944,0.02500808,0.269386942
0.181193935,0.24260355,0.623134328,0.54601595,0.517448927,0.215400283,0.306902727,0.022737168,0.257655777
0.609067996,0.792899408,0.940298507,0.545850066,0.517193734,0.215351978,0.307175255,0.022724243,0.257978418
0.586370904,0.763313609,0.947761194,0.545691422,0.516957973,0.215301785,0.307416109,0.022711279,0.258267677
0.326943142,0.426035503,0.48880597,0.552840556,0.524741158,0.221482891,0.309314877,0.024068914,0.25773717
0.044232229,0.059171598,0.369402985,0.559633035,0.531079545,0.227693761,0.313209451,0.025437262,0.259204932
0.169303369,0.227810651,0.451492537,0.554844821,0.52672279,0.223212338,0.310089248,0.024449311,0.257808293
0.15653202,0.210059172,0.414179104,0.559633035,0.531079545,0.227693761,0.313209451,0.025437262,0.259204932
0.05942573,0.079881657,0.302238806,0.547342468,0.516514978,0.217525995,0.313743645,0.023120988,0.264122223
0.563673812,0.733727811,0.854477612,0.547718488,0.516789927,0.217917425,0.314539134,0.023202017,0.264852137
0.586370904,0.763313609,0.839552239,0.548054744,0.51703735,0.218269954,0.315262783,0.023275185,0.265518702
0.631765088,0.822485207,0.492537313,0.557897173,0.527728301,0.226535581,0.319058086,0.025122834,0.266308047
