Suitability,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EC_br,MNDWI,NDWI,SAR_br,TDS_br,pH_br
0,0.0381,0.0826,0.0664,0.0477,0.0698,0.0888,0.1076,0.1085,0.1225,0.1086,0.1175,0.1699,0.649308653,-0.08398951,-0.2174888,30.99356955,598.1061804,8.048864632
0,0.0381,0.0826,0.0664,0.0477,0.0698,0.0888,0.1076,0.1085,0.1225,0.1086,0.1175,0.1699,0.649308653,-0.08398951,-0.2174888,30.99356955,598.1061804,8.048864632
0,0.0381,0.0826,0.0664,0.0477,0.0698,0.0888,0.1076,0.1085,0.1225,0.1086,0.1175,0.1699,0.649308653,-0.08398951,-0.2174888,30.99356955,598.1061804,8.048864632
0,0.0335,0.1309,0.0687,0.033,0.0625,0.0483,0.1059,0.2455,0.3183,0.4036,0.3177,0.3305,0.243268343,-0.35367113,-0.7318172,24.23735773,258.79566,8.270356541
0,0.0335,0.1309,0.0687,0.033,0.0625,0.0483,0.1059,0.2455,0.3183,0.4036,0.3177,0.3305,0.243268343,-0.35367113,-0.7318172,24.23735773,258.79566,8.270356541
0,0.0335,0.1309,0.0687,0.033,0.0625,0.0483,0.1059,0.2455,0.3183,0.4036,0.3177,0.3305,0.243268343,-0.35367113,-0.7318172,24.23735773,258.79566,8.270356541
0,0.043,0.0919,0.0691,0.0611,0.0767,0.0769,0.0985,0.0967,0.1046,0.0844,0.1008,0.2459,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
0,0.043,0.0919,0.0691,0.0611,0.0767,0.0769,0.0985,0.0967,0.1046,0.0844,0.1008,0.2459,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
0,0.043,0.0919,0.0691,0.0611,0.0767,0.0769,0.0985,0.0967,0.1046,0.0844,0.1008,0.2459,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
0,0.0274,0.1462,0.0731,0.0292,0.0576,0.0424,0.0882,0.2469,0.2984,0.2382,0.3062,0.3479,0.937723171,-0.43473995,-0.61054766,38.62649637,316.9430365,8.243870694
0,0.0274,0.1462,0.0731,0.0292,0.0576,0.0424,0.0882,0.2469,0.2984,0.2382,0.3062,0.3479,0.937723171,-0.43473995,-0.61054766,38.62649637,316.9430365,8.243870694
0,0.0274,0.1462,0.0731,0.0292,0.0576,0.0424,0.0882,0.2469,0.2984,0.2382,0.3062,0.3479,0.937723171,-0.43473995,-0.61054766,38.62649637,316.9430365,8.243870694
0,0.0413,0.0616,0.0485,0.0625,0.091,0.11,0.1181,0.1177,0.1307,0.123,0.1328,0.1436,0.37763003,0.19266054,-0.14953274,57.0767142,135.3737275,8.061316276
0,0.0413,0.0616,0.0485,0.0625,0.091,0.11,0.1181,0.1177,0.1307,0.123,0.1328,0.1436,0.37763003,0.19266054,-0.14953274,57.0767142,135.3737275,8.061316276
