Station,Latitude,Longitude,Dates,TDS,EC,pH,Ca+Mg,CO3-2,HCO3-,Na+,k+,SAR,Suitability
WARC,9.335145,40.172296,2023-06-12,339.84,0.531,7.96,2,0.6,0.9,42.8,10.3,42.8,1
WARC,9.335145,40.172296,2023-06-12,328.96,0.514,8.38,2.27,0.05,0.2,42.1,9.8,39.52,1
WARC,9.335145,40.172296,2023-06-12,336,0.525,8.19,2.15,0.2,0.7,42.3,9.8,40.8,1
WEIR SITE,9.206525,40.119202,2023-06-12,141.44,0.221,8.08,2.05,0.1,0.8,7.6,4.3,7.51,2
WEIR SITE,9.206525,40.119202,2023-06-12,144,0.225,8.13,1.99,0.025,0.5,7.7,4.3,7.72,2
WEIR SITE,9.206525,40.119202,2023-06-12,156.16,0.244,8.14,2.23,0.1,0.6,7.8,4.2,7.39,2
KEBENA,9.251618,40.048613,2023-06-12,304,0.475,8.28,1.85,0.15,0.5,36.5,9.9,37.95,1
KEBENA,9.251618,40.048613,2023-06-12,297.6,0.465,8.25,1.87,0.05,0.45,37.1,10.1,38.37,1
KEBENA,9.251618,40.048613,2023-06-12,289.92,0.453,8.22,1.92,0.05,0.5,37,9.9,37.76,1
KESEM,9.198116,40.045662,2023-06-12,295.04,0.461,8.1,2.42,0.05,0.55,34.3,7,31.18,1
KESEM,9.198116,40.045662,2023-06-12,292.48,0.457,8.13,2.43,0.07,0.2,33.5,6.5,30.39,1
KESEM,9.198116,40.045662,2023-06-12,298.24,0.466,8.06,2.55,0.05,0.6,33.8,6.8,29.93,1
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-06-12,298.24,0.466,8.11,2.01,0.05,0.5,36.3,9.9,36.21,1
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-06-12,298.24,0.466,7.94,2.06,0.05,0.45,36.3,10.1,35.77,1
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-06-12,302.08,0.472,8.03,2.13,0.025,0.35,32.9,9.9,31.88,1
DEHOSPPRING,9.166462,40.083482,2023-06-12,1269.12,1.983,8.63,0.81,0.05,0.2,91.7,15.1,144.09,0
DEHOSPPRING,9.166462,40.083482,2023-06-12,1264,1.975,8.71,0.95,0.05,0.1,97.6,15.3,141.61,0
DEHOSPPRING,9.166462,40.083482,2023-06-12,1242.24,1.941,8.78,0.88,0.05,0.15,95.9,15,144.57,0
WARC,9.335145,40.172296,2023-06-17,336,0.525,8,1.88,0.2,0.7,32.2,13.4,33.21,1
WARC,9.335145,40.172296,2023-06-17,332.8,0.52,8.21,1.78,0.05,0.6,32.1,13.3,34.03,1
WARC,9.335145,40.172296,2023-06-17,336.64,0.526,8.26,1.89,0.05,0.8,32.1,13.8,33.02,1
WEIR SITE,9.206525,40.119202,2023-06-17,174.72,0.273,8.17,2.27,0.05,0.5,11.5,4.2,10.79,2
WEIR SITE,9.206525,40.119202,2023-06-17,173.44,0.271,8.16,2.06,0.05,0.45,11.9,4.3,11.73,2
WEIR SITE,9.206525,40.119202,2023-06-17,176,0.275,8.27,2.01,0.05,0.7,11.6,4.3,11.57,2
KEBENA,9.251618,40.048613,2023-06-17,285.44,0.446,8.35,1.79,0.05,0.8,15.1,12.5,15.96,1
KEBENA,9.251618,40.048613,2023-06-17,278.4,0.435,8.37,1.86,0.05,0.7,27.3,12.7,28.31,1
KEBENA,9.251618,40.048613,2023-06-17,284.8,0.445,8.35,1.87,0.05,0.55,27.3,12.4,28.23,1
KESEM,9.198116,40.045662,2023-06-17,285.44,0.446,8.18,2.49,0.05,0.45,26.5,5.9,23.75,2
KESEM,9.198116,40.045662,2023-06-17,302.72,0.473,8.23,2.53,0.05,0.5,26.9,5.9,23.92,2
KESEM,9.198116,40.045662,2023-06-17,298.24,0.466,8.25,2.71,0.05,0.4,23.8,5.8,20.45,2
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-06-17,280.32,0.438,8.32,2.02,0.05,0.45,27.5,12.1,27.36,1
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-06-17,282.24,0.441,8.28,2.02,0.05,0.6,27.1,12.6,26.97,1
AWASHRIVER@ADDIS RAI,9.188908,40.125419,2023-06-17,280.96,0.439,8.4,2.39,0.05,0.45,27.6,12.3,25.25,1
DEHOSPPRING,9.166462,40.083482,2023-06-17,1186.56,1.854,8.61,0.93,0.2,0.8,69,29.2,101.19,0
DEHOSPPRING,9.166462,40.083482,2023-06-17,1205.12,1.883,8.78,0.77,0.3,0.7,69.3,29.3,111.69,0
DEHOSPPRING,9.166462,40.083482,2023-06-17,1213.44,1.896,8.81,0.92,0.3,0.65,68.9,28.5,101.59,0
WARC,9.335145,40.172296,2023-06-22,355.84,0.556,8.7,2.29,0.2,0.7,30.8,12.6,28.78,0
WARC,9.335145,40.172296,2023-06-22,352,0.55,8.57,2.82,0.1,0.9,31.1,12.7,26.19,0
WARC,9.335145,40.172296,2023-06-22,350.72,0.548,8.64,2.3,0.05,0.5,30.9,12.3,28.81,0
WEIR SITE,9.206525,40.119202,2023-06-22,185.6,0.29,8.47,4.09,0,0.3,10.9,4.3,7.62,2
