Station,Latitude,Longitude,Dates,TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,NDWI,SI1,SI2,SI3,SI4,SI5,SI6
Beseka  out  gate,8.888565,39.917802,20/03/2017,0.691726063,0.890532544,0.921641791,0.13110442,0.29517373,0.24227999,0.12314979,0.13003317,0.16306439,0.17218895,0.19019122,0.21023883,0.20516647,0.2333586,0.06903261,-0.38837698,-0.22414495,0.534989888,0.503172888,0.208563227,0.292560936,0.021203779,0.24290308
Beseka  middle,8.89731,39.90717,20/03/2017,0.708664191,0.908284024,0.925373134,0.13134389,0.2953777,0.2427054,0.12340449,0.13035862,0.16352229,0.17264505,0.19066371,0.21074298,0.20561312,0.23386657,0.069005944,-0.38760865,-0.22399056,0.535655464,0.503749054,0.209124147,0.293274044,0.02131654,0.243454566
Beseka  uper,8.90574,39.8977,20/03/2017,0.267256565,0.346153846,0.649253731,0.1315676,0.2955425,0.24307434,0.12364292,0.13066253,0.16394602,0.17306393,0.19109435,0.21120009,0.20601429,0.23432124,0.06897711,-0.386856,-0.22381036,0.536273194,0.504287073,0.209644923,0.29392666,0.021421602,0.243956112
AWASHRIVER@ADDIS RAI,9.188908,40.125419,20/03/2017,0.152416055,0.210059172,0.720149254,0.14118235,0.27624506,0.22972016,0.134378,0.14354037,0.17798726,0.18366648,0.19853783,0.21660481,0.20674266,0.23346129,0.06372183,-0.31612507,-0.18043207,0.55889647,0.527179636,0.228655424,0.308262599,0.025548358,0.251687036
KEBENA,9.251618,40.048613,20/03/2017,0.055936475,0.076923077,0.481343284,0.14340341,0.27565172,0.23091425,0.1367864,0.14654198,0.18184163,0.18719976,0.20187807,0.21993938,0.20932984,0.23625106,0.06309615,-0.30580688,-0.17643392,0.564471459,0.532285998,0.233539997,0.313623841,0.026647432,0.255525999
KESEM,9.335145,40.172296,20/03/2017,0.068944958,0.094674556,0.447761194,0.14802337,0.2689406,0.22733362,0.14189732,0.15274763,0.18899338,0.19301288,0.20652899,0.22391906,0.21128315,0.23781863,0.060960893,-0.27554235,-0.16079827,0.575230997,0.542812078,0.24300275,0.322010721,0.028868292,0.260715184
DEHOSPPRING,9.166462,40.083482,20/03/2017,0.447274994,0.612426036,0.712686567,0.14004236,0.27843052,0.23118994,0.13310707,0.14201276,0.17630622,0.1823806,0.19761224,0.2159086,0.20659208,0.23348393,0.06432931,-0.32446176,-0.18525079,0.5562493,0.524518661,0.226387956,0.306482944,0.025037732,0.25069486
WARC,9.335145,40.172296,20/03/2017,0.238055232,0.325443787,0.578358209,0.14802337,0.2689406,0.22733362,0.14189732,0.15274763,0.18899338,0.19301288,0.20652899,0.22391906,0.21128315,0.23781863,0.060960893,-0.27554235,-0.16079827,0.575230997,0.542812078,0.24300275,0.322010721,0.028868292,0.260715184
AWASHRIVER@ADDIS RAI,9.188908,40.125419,20/03/2017,0.140491612,0.192307692,0.53358209,0.14118235,0.27624506,0.22972016,0.134378,0.14354037,0.17798726,0.18366648,0.19853783,0.21660481,0.20674266,0.23346129,0.06372183,-0.31612507,-0.18043207,0.55889647,0.527179636,0.228655424,0.308262599,0.025548358,0.251687036
KEBENA,9.251618,40.048613,20/03/2017,0.016911027,0.023668639,0.294776119,0.14340341,0.27565172,0.23091425,0.1367864,0.14654198,0.18184163,0.18719976,0.20187807,0.21993938,0.20932984,0.23625106,0.06309615,-0.30580688,-0.17643392,0.564471459,0.532285998,0.233539997,0.313623841,0.026647432,0.255525999
