TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0.651074555,0.846153846,0.813432836,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547
1,0.857988166,0.802238806,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016
0.67817556,0.884615385,0.835820896,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547
0.70188894,0.917159763,0.873134328,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016
0.253706062,0.375739645,0.529850746,0.122857966,0.24658403,0.16793446,0.1093649,0.1162991,0.12422785,0.15499699,0.22703555,0.2617221,0.26122895,0.29287001,0.09978111
0.021680804,0.029585799,0.503731343,0.13068838,0.2442496,0.18066934,0.11881026,0.12592335,0.14049172,0.16300227,0.21900128,0.24793522,0.24409845,0.2726651,0.094323166
0,0,0.436567164,0.12889484,0.2433795,0.1777214,0.11693439,0.124460734,0.13788599,0.16273059,0.22285391,0.25299096,0.25030667,0.27906668,0.10101894
0.02883547,0.041420118,0.507462687,0.13522853,0.24449196,0.18802866,0.12441404,0.13238734,0.15075476,0.17016914,0.21932209,0.24597283,0.24053305,0.26804543,0.093756646
0.502561045,0.686390533,0.708955224,0.1289856,0.24408796,0.17789543,0.116815865,0.123889446,0.13712938,0.16127229,0.2204681,0.25044116,0.24738355,0.27635017,0.096606344
0.084988753,0.115384615,0.593283582,0.13077602,0.2441598,0.18080637,0.11895993,0.12618236,0.14086796,0.16345577,0.21949787,0.24842511,0.24462129,0.2731405,0.09510778
0.074581967,0.103550296,0.548507463,0.13522853,0.24449196,0.18802866,0.12441404,0.13238734,0.15075476,0.17016914,0.21932209,0.24597283,0.24053305,0.26804543,0.093756646
0.668012683,0.884615385,0.921641791,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547
0.705276566,0.920118343,0.932835821,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016
0.659543619,0.866863905,0.867537313,0.1492696,0.2836508,0.21854252,0.12583086,0.12794359,0.15060453,0.16520607,0.19588085,0.21808288,0.2159421,0.24371961,0.0937865
0.852638283,0.890532544,0.867537313,0.15026347,0.2845416,0.21924603,0.12638281,0.12854324,0.15130185,0.16597334,0.19667378,0.21891598,0.21682635,0.24463217,0.09488082
0.647686929,0.843195266,0.708955224,0.1492696,0.2836508,0.21854252,0.12583086,0.12794359,0.15060453,0.16520607,0.19588085,0.21808288,0.2159421,0.24371961,0.0937865
0.629393751,0.849112426,0.71641791,0.15026347,0.2845416,0.21924603,0.12638281,0.12854324,0.15130185,0.16597334,0.19667378,0.21891598,0.21682635,0.24463217,0.09488082
0.174774384,0.227810651,0.358208955,0.15120317,0.28536603,0.21988703,0.12690103,0.1291039,0.15195128,0.16668662,0.19740695,0.21968408,0.21764319,0.24547242,0.09591259
0.590097293,0.766272189,0.791044776,0.12426691,0.2772236,0.21732955,0.113960855,0.1167129,0.14127281,0.15522277,0.18187277,0.20206662,0.20376231,0.22768132,0.08853142
0.562996287,0.730769231,0.776119403,0.12425847,0.27769002,0.217666,0.11399629,0.11679742,0.14141764,0.1554355,0.18211114,0.20233916,0.20411927,0.22804028,0.088971905
0.678514323,0.881656805,0.888059701,0.12426691,0.2772236,0.21732955,0.113960855,0.1167129,0.14127281,0.15522277,0.18187277,0.20206662,0.20376231,0.22768132,0.08853142
0.689015962,0.881656805,0.880597015,0.12425847,0.27769002,0.217666,0.11399629,0.11679742,0.14141764,0.1554355,0.18211114,0.20233916,0.20411927,0.22804028,0.088971905
0.139204314,0.183431953,0.645522388,0.12424321,0.27810708,0.21795666,0.11402234,0.116867706,0.14154108,0.15562105,0.182317,0.20257366,0.20443396,0.22835241,0.08938443
0.671400309,0.902366864,0.776119403,0.124048404,0.2870436,0.22727022,0.11490333,0.11888325,0.14782348,0.1626334,0.18429743,0.20303823,0.20598496,0.22840546,0.09604907
0.669706496,0.902366864,0.794776119,0.12404689,0.28750908,0.2276573,0.114944786,0.11896106,0.14796963,0.1628144,0.18447709,0.20326988,0.2062858,0.22872142,0.09626008
0.214070842,0.286982249,0.593283582,0.124037266,0.28792423,0.2279908,0.114976756,0.11902548,0.14809364,0.16296962,0.18462983,0.20346747,0.20654893,0.22899532,0.0964606
0.13010854,0.174556213,0.664179104,0.12407987,0.2697686,0.19048178,0.11443981,0.119654484,0.1430307,0.16516851,0.21371667,0.24215169,0.24240442,0.2729257,0.0899598
0.722214694,0.970414201,0.970149254,0.124104135,0.27056792,0.19101664,0.11455497,0.11986725,0.14347889,0.16573061,0.21414612,0.24260846,0.24299158,0.2735286,0.0904268
0.744234261,1,0.955223881,0.124118574,0.27127963,0.19149035,0.11465021,0.12004936,0.14387254,0.16622663,0.2145147,0.24299799,0.2435056,0.27404958,0.09086312
