TDS,EC,pH
2120,3.13,9.36
2170,3.19,9.37
867,1.29,8.63
528,0.83,8.82
243.2,0.38,8.18
281.6,0.44,8.09
1398.4,2.19,8.8
780.8,1.22,8.44
492.8,0.77,8.32
128,0.2,7.68
179.2,0.28,7.59
1664,2.6,8.3
710.4,1.11,7.94
2130,3.16,9.42
2130,3.18,9.4
888,1.33,8.85
2080,3.1,9.46
2080,3.03,9.43
2170,3.22,9.47
2170,3.17,9.44
827,1.23,8.78
768,1.15,8.89
634,0.95,8.51
478,0.7,8.26
480,0.75,8.63
262.4,0.41,8.34
320,0.5,8.44
1523.2,2.38,9.21
505.6,0.79,8.46
710.4,1.11,8.61
556,0.82,8.385
345,0.52,7.74
2170,3.1,8.98
2170,3.1,8.97
671,1.01,8.4
2035,3.1,9.04
2005,3.05,9.04
512,0.78,8.24
466.05,0.72,8.22
1885,2.9,9.48
1885,2.9,9.49
359.45,0.55,7.71
1029.6,1.58,8.29
200.2,0.31,7.69
400.4,0.62,7.89
2080,3.2,9.49
2015,3.1,9.45
1101.1,1.69,8.29
215.8,0.33,8.04
393.25,0.61,8.57
262.6,0.4,8.36
612.95,0.94,8.56
1876,2.8,9.41
1809,2.7,9.43
1043.19,1.56,8.2
208.65,0.32,7.88
577.85,0.89,8.1
540.15,0.83,8
253.5,0.39,7.7
1742,2.6,9.18
1809,2.7,9.14
1943,2.9,8.21
221,0.34,7.54
174.85,0.27,7.41
375.05,0.58,7.68
611.65,0.94,8.65
1809,2.7,9.31
1742,2.6,9.31
577.85,0.89,7.68
1053,1.62,7.8
221.65,0.34,7.62
555.1,0.85,7.74
522.6,0.8,7.93
1809,2.7,9.15
1742,2.6,9.13
1044.55,1.61,7.81
226.2,0.35,7.61
504.4,0.78,7.6
560.3,0.86,7.52
429.5,0.86,8.01
1811.68,2.7,9.02
1800.29,2.69,9.01
2000,2.98,9.07
3030,3.02,9.04
2080,3.11,9.13
2150,3.22,9.23
827,1.39,8.31
142.08,0.22,8.24
78.08,0.12,8.06
163.2,0.26,8.25
1561.6,2.44,8.79
328.96,0.51,8.48
298.24,0.47,8.36
2050,3.11,9.36
2160,3.23,9.39
2025,3.05,9.22
2595,3.13,9.22
1990,2.97,8.79
1936,2.99,8.81
594,0.89,7.85
1820,2.71,9.01
1740,2.59,8.97
2081,3.1,9.27
2112,3.1,9.25
489,0.74,8.62
2060,3.17,8.97
2055,3.17,9.02
710,1.09,8.48
462.15,0.71,8.67
2210,3.4,9.49
2275,3.5,9.45
456.3,0.7,8.27
1043.9,1.61,8.3
172.25,0.27,7.45
468.65,0.72,7.75
438.1,0.67,8.67
2278,3.4,9.57
2345,3.5,9.55
1066,1.64,8.47
174.2,0.27,8.63
435.5,0.67,8.59
460.85,0.71,8.62
464.75,0.72,8.61
2145,3.3,9.45
2210,3.4,9.43
1029.6,1.58,8.37
178.1,0.27,8.14
432.25,0.67,8.13
443.3,0.68,8.03
221,0.34,7.34
1742,2.6,9.07
1742,2.6,8.98
193.7,0.3,7.7
1714,2.6,9.08
1675,2.5,9.1
1131.68,1.69,8.02
174.85,0.27,7.28
160.55,0.25,7.25
174.85,0.27,7.44
420.5,0.84,8.09
1809,2.7,8.97
1809,2.7,8.96
1094.6,1.68,8.26
140.5,0.28,7.45
333.5,0.67,7.49
369,0.74,8.45
580,0.91,7.15
1048,1.64,7.41
186,0.29,6.89
561,0.88,7.01
339.84,0.531,7.96
328.96,0.514,8.38
336,0.525,8.19
141.44,0.221,8.08
144,0.225,8.13
156.16,0.244,8.14
304,0.475,8.28
297.6,0.465,8.25
289.92,0.453,8.22
295.04,0.461,8.1
292.48,0.457,8.13
298.24,0.466,8.06
298.24,0.466,8.11
298.24,0.466,7.94
302.08,0.472,8.03
1269.12,1.983,8.63
1264,1.975,8.71
1242.24,1.941,8.78
336,0.525,8
332.8,0.52,8.21
336.64,0.526,8.26
174.72,0.273,8.17
173.44,0.271,8.16
176,0.275,8.27
285.44,0.446,8.35
278.4,0.435,8.37
284.8,0.445,8.35
285.44,0.446,8.18
302.72,0.473,8.23
298.24,0.466,8.25
280.32,0.438,8.32
282.24,0.441,8.28
280.96,0.439,8.4
1186.56,1.854,8.61
1205.12,1.883,8.78
1213.44,1.896,8.81
355.84,0.556,8.7
352,0.55,8.57
350.72,0.548,8.64
185.6,0.29,8.47
184.32,0.288,8.38
179.84,0.281,8.39
318.72,0.498,8.59
320,0.5,8.48
316.8,0.495,8.62
394.88,0.617,8.34
388.48,0.607,8.2
384,0.6,8.24
313.6,0.49,8.59
321.92,0.503,8.57
320.64,0.501,8.56
1292.8,2.02,8.72
1257.6,1.965,8.66
1275.52,1.993,8.69
372.48,0.582,8.6
375.04,0.586,9.03
377.6,0.59,8.67
364.16,0.569,8.71
368.64,0.576,8.95
366.08,0.572,9.01
192,0.3,9.09
188.16,0.294,9.11
188.16,0.294,9
356.48,0.557,8.26
336.64,0.526,8.79
336,0.525,8.86
381.44,0.596,8.78
165.12,0.258,8.78
339.84,0.531,8.8
1172.48,1.832,9.26
1152,1.8,9.24
1146.88,1.792,9.13
508.8,0.795,8.6
496.64,0.776,8.4
497.92,0.778,8.81
220.8,0.345,8.31
218.88,0.342,8.62
216.96,0.339,8.7
444.16,0.694,9.01
440.96,0.689,9.07
444.16,0.694,9.09
414.72,0.648,9.07
416.64,0.651,9.01
419.84,0.656,9.03
447.36,0.699,9.16
446.72,0.698,9.2
449.28,0.702,9.18
1344,2.1,9.66
1344,2.1,9.58
1344,2.1,9.61
297.6,0.465,7.55
295.04,0.461,7.88
296.32,0.463,8.31
153.6,0.24,7.61
136.32,0.213,7.81
138.24,0.216,7.99
312.96,0.489,8
264.32,0.413,8.27
274.56,0.429,8.19
348.8,0.545,8.25
321.28,0.502,8.22
265.6,0.415,8.3
272,0.425,8.31
268.16,0.419,8.4
271.36,0.424,8.53
1280,2,8.82
1356.8,2.12,8.8
1344,2.1,8.72
289.28,0.452,8.85
287.36,0.449,8.8
289.92,0.453,8.82
147.2,0.23,8.75
150.4,0.235,8.65
149.12,0.233,8.73
252.8,0.395,8.82
251.52,0.393,8.81
251.52,0.393,8.85
416,0.65,8.98
416.64,0.651,8.99
420.48,0.657,9.03
248.32,0.388,8.9
248.96,0.389,8.88
246.4,0.385,8.86
1491.2,2.33,9.66
1472,2.3,9.64
1478.4,2.31,9.63
325.76,0.509,8.34
321.92,0.503,8.68
327.68,0.512,8.58
1491.2,2.33,10.01
1529.6,2.39,10.01
1542.4,2.41,10.01
1497.6,2.34,9.97
1529.6,2.39,9.98
1497.6,2.34,9.98
1516.8,2.37,9.59
1529.6,2.39,9.61
1536,2.4,9.67
2028.8,3.17,10.18
2041.6,3.19,10.19
2028.8,3.17,10.19
185.6,0.29,8.75
215.68,0.337,8.74
174.08,0.272,8.82
379.52,0.593,9.11
381.44,0.596,9.08
380.16,0.594,8.78
387.84,0.606,8.35
387.84,0.606,8.46
389.12,0.608,8.47
464.64,0.726,8.64
456.96,0.714,8.75
468.48,0.732,8.71
331.52,0.518,8.25
329.6,0.515,8.4
330.24,0.516,8.36
1440,2.25,10.01
1452.8,2.27,10.02
1440,2.25,10.03
1459.2,2.28,10.02
1446.4,2.26,10.02
1459.2,2.28,10.01
2028.8,3.17,10.25
2035.2,3.18,10.22
2028.8,3.17,10.21
1408,2.2,8.98
1388.8,2.17,8.97
1395.2,2.18,9.04
201.6,0.315,8.72
200.96,0.314,8.81
186.24,0.291,8.83
488.32,0.763,8.97
484.48,0.757,8.97
484.48,0.757,8.98
487.68,0.762,8.97
497.92,0.778,8.98
494.08,0.772,8.94
576.64,0.901,8.93
573.44,0.896,8.92
577.28,0.902,8.94
