Station,Latitude,Longitude,Dates,TDS,EC,pH,SAR,Suitability,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EC_br,MNDWI,NDWI,SAR_br,TDS_br,pH_br
WARC,9.335145,40.172296,12/06/2023,339.84,0.531,7.96,42.8,1,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
WARC,9.335145,40.172296,12/06/2023,328.96,0.514,8.38,39.52,1,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
WARC,9.335145,40.172296,12/06/2023,336,0.525,8.19,40.8,1,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
WEIR SITE,9.206525,40.119202,12/06/2023,141.44,0.221,8.08,7.51,2,0.033500001,0.130899996,0.068700001,0.033,0.0625,0.048300002,0.105899997,0.245499998,0.318300009,0.403600007,0.317699999,0.330500007,0.243268343,-0.353671133,-0.731817211,24.23735773,258.79566,8.270356541
WEIR SITE,9.206525,40.119202,12/06/2023,144,0.225,8.13,7.72,2,0.033500001,0.130899996,0.068700001,0.033,0.0625,0.048300002,0.105899997,0.245499998,0.318300009,0.403600007,0.317699999,0.330500007,0.243268343,-0.353671133,-0.731817211,24.23735773,258.79566,8.270356541
WEIR SITE,9.206525,40.119202,12/06/2023,156.16,0.244,8.14,7.39,2,0.033500001,0.130899996,0.068700001,0.033,0.0625,0.048300002,0.105899997,0.245499998,0.318300009,0.403600007,0.317699999,0.330500007,0.243268343,-0.353671133,-0.731817211,24.23735773,258.79566,8.270356541
KEBENA,9.251618,40.048613,12/06/2023,304,0.475,8.28,37.95,1,0.043000001,0.091899998,0.0691,0.061099999,0.076700002,0.076899998,0.098499998,0.096699998,0.104599997,0.084399998,0.1008,0.245900005,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
KEBENA,9.251618,40.048613,12/06/2023,297.6,0.465,8.25,38.37,1,0.043000001,0.091899998,0.0691,0.061099999,0.076700002,0.076899998,0.098499998,0.096699998,0.104599997,0.084399998,0.1008,0.245900005,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
KEBENA,9.251618,40.048613,12/06/2023,289.92,0.453,8.22,37.76,1,0.043000001,0.091899998,0.0691,0.061099999,0.076700002,0.076899998,0.098499998,0.096699998,0.104599997,0.084399998,0.1008,0.245900005,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
KESEM,9.198116,40.045662,12/06/2023,295.04,0.461,8.1,31.18,1,0.0274,0.146200001,0.073100001,0.029200001,0.057599999,0.042399999,0.088200003,0.246900007,0.298400015,0.238199994,0.306199998,0.347900003,0.937723171,-0.434739952,-0.610547665,38.62649637,316.9430365,8.243870694
